,Sector,University,Year,Completions,Geography
100,"Private for-profit, less-than 2-year",European Massage Therapy School-Las Vegas,2014,83,Nevada
101,"Public, 4-year or above",Nevada State College,2014,365,Nevada
102,"Private for-profit, 2-year",Euphoria Institute of Beauty Arts & Sciences-Green Valley,2014,104,Nevada
103,"Private for-profit, less-than 2-year",Institute of Professional Careers,2014,10,Nevada
104,"Public, 4-year or above",University of Nevada-Las Vegas,2014,5093,Nevada
105,"Private for-profit, less-than 2-year",Milan Institute-Sparks,2014,310,Nevada
106,"Private for-profit, less-than 2-year",Academy of Hair Design-Las Vegas,2014,256,Nevada
107,"Private for-profit, 2-year",Milan Institute of Cosmetology-Reno,2014,106,Nevada
108,"Public, 4-year or above",University of Nevada-Reno,2014,3550,Nevada
109,"Private for-profit, 4-year or above",Sanford-Brown College-Las Vegas,2014,81,Nevada
110,"Private for-profit, 2-year",Northwest Career College,2014,164,Nevada
111,"Private not-for-profit, 4-year or above",Sierra Nevada College,2014,275,Nevada
112,"Private for-profit, 2-year",Casal Institute of Nevada,2014,94,Nevada
113,"Private for-profit, 2-year",Le Cordon Bleu College of Culinary Arts-Las Vegas,2014,277,Nevada
114,"Private for-profit, 2-year",Carrington College-Reno,2014,157,Nevada
115,"Private not-for-profit, 4-year or above",Touro University Nevada,2014,349,Nevada
116,"Private for-profit, 2-year",Carrington College-Las Vegas,2014,113,Nevada
117,"Private for-profit, 2-year",International Academy of Style,2014,69,Nevada
118,"Private for-profit, 4-year or above",The Art Institute of Las Vegas,2014,189,Nevada
119,"Private for-profit, 2-year",Pima Medical Institute-Las Vegas,2014,567,Nevada
120,"Private for-profit, 2-year",Brightwood College-Las Vegas,2014,624,Nevada
121,"Private for-profit, 4-year or above",ITT Technical Institute-Las Vegas,2014,218,Nevada
122,"Private for-profit, 2-year",Paul Mitchell the School-Las Vegas,2014,138,Nevada
123,"Private for-profit, 4-year or above",University of Phoenix-Nevada,2014,708,Nevada
124,"Private for-profit, 4-year or above",DeVry University-Nevada,2014,127,Nevada
125,"Private for-profit, 2-year",Career College of Northern Nevada,2014,239,Nevada
126,"Private for-profit, 2-year",Aviation Institute of Maintenance-Las Vegas,2014,0,Nevada
127,"Private for-profit, 2-year",Paul Mitchell the School-Reno,2014,93,Nevada
128,"Private for-profit, 4-year or above",ITT Technical Institute-Henderson,2014,183,Nevada
129,"Private for-profit, 2-year",Aviation Institute of Maintenance-Las Vegas,2013,0,Nevada
130,"Private for-profit, 4-year or above",DeVry University-Nevada,2013,97,Nevada
131,"Private for-profit, 4-year or above",ITT Technical Institute-Henderson,2013,217,Nevada
132,"Private for-profit, 2-year",Career College of Northern Nevada,2013,275,Nevada
133,"Private for-profit, 2-year",Paul Mitchell the School-Las Vegas,2013,128,Nevada
134,"Private for-profit, 2-year",Brightwood College-Las Vegas,2013,575,Nevada
135,"Private for-profit, 4-year or above",ITT Technical Institute-Las Vegas,2013,168,Nevada
136,"Private for-profit, 2-year",Pima Medical Institute-Las Vegas,2013,588,Nevada
137,"Private for-profit, 4-year or above",The Art Institute of Las Vegas,2013,194,Nevada
138,"Private not-for-profit, 2-year",Expertise Cosmetology Institute,2013,55,Nevada
139,"Private not-for-profit, 4-year or above",Roseman University of Health Sciences,2013,412,Nevada
140,"Private for-profit, 2-year",Carrington College-Las Vegas,2013,77,Nevada
141,"Private for-profit, 2-year",International Academy of Style,2013,55,Nevada
142,"Private for-profit, 2-year",Carrington College-Reno,2013,135,Nevada
143,"Private not-for-profit, 4-year or above",Touro University Nevada,2013,372,Nevada
144,"Private for-profit, 2-year",Le Cordon Bleu College of Culinary Arts-Las Vegas,2013,438,Nevada
145,"Private for-profit, 4-year or above",Sanford-Brown College-Las Vegas,2013,99,Nevada
146,"Private for-profit, 2-year",Casal Institute of Nevada,2013,65,Nevada
147,"Private not-for-profit, 4-year or above",Sierra Nevada College,2013,232,Nevada
148,"Private for-profit, 2-year",Northwest Career College,2013,116,Nevada
149,"Private for-profit, 2-year",Paul Mitchell the School-Reno,2013,91,Nevada
150,"Private for-profit, less-than 2-year",Academy of Hair Design-Las Vegas,2013,84,Nevada
151,"Private for-profit, 2-year",Milan Institute of Cosmetology-Reno,2013,111,Nevada
152,"Public, 4-year or above",University of Nevada-Reno,2013,3551,Nevada
153,"Private for-profit, less-than 2-year",Milan Institute-Sparks,2013,293,Nevada
154,"Public, 2-year",Truckee Meadows Community College,2013,1633,Nevada
155,"Public, 4-year or above",University of Nevada-Las Vegas,2013,5278,Nevada
156,"Private for-profit, less-than 2-year",Institute of Professional Careers,2013,8,Nevada
157,"Public, 4-year or above",College of Southern Nevada,2013,2741,Nevada
158,"Private for-profit, 2-year",Euphoria Institute of Beauty Arts & Sciences-Green Valley,2013,105,Nevada
159,"Private for-profit, less-than 2-year",European Massage Therapy School-Las Vegas,2013,63,Nevada
160,"Public, 4-year or above",Nevada State College,2013,303,Nevada
161,"Private for-profit, less-than 2-year",Advanced Training Institute,2013,157,Nevada
162,"Private for-profit, 2-year",Euphoria Institute of Beauty Arts & Sciences-Summerlin,2013,110,Nevada
163,"Public, 4-year or above",Great Basin College,2013,422,Nevada
164,"Private for-profit, less-than 2-year",Utah College of Massage Therapy-Vegas,2013,372,Nevada
165,"Private not-for-profit, 2-year",Everest College-Henderson,2013,416,Nevada
166,"Private for-profit, less-than 2-year",Milan Institute-Las Vegas,2013,304,Nevada
167,"Private for-profit, 2-year",Nevada Career Institute,2013,184,Nevada
